frame,timestamp,fish_y,sweet_y,distance,velocity,action,is_holding
5,1765649159.5603726,155,154,1,-0.38,RELEASE,False
10,1765649159.661695,156,152,4,-0.64,RELEASE,False
15,1765649159.7619057,155,152,3,-0.02,RELEASE,False
20,1765649159.8760974,156,153,3,0.25,HOLD,True
25,1765649159.9883487,155,151,4,-0.15,HOLD,True
30,1765649160.1012995,156,150,6,-0.02,RELEASE,False
35,1765649160.2171268,155,151,4,-0.00,HOLD,True
40,1765649160.3124804,156,152,4,0.50,HOLD,True
45,1765649160.4250278,155,151,4,-0.11,HOLD,True
50,1765649160.5341902,156,151,5,-0.22,RELEASE,False
55,1765649160.6410658,155,152,3,0.02,RELEASE,False
60,1765649160.7512763,156,152,4,0.03,RELEASE,False
65,1765649160.8376381,155,152,3,0.19,HOLD,True
70,1765649160.9565632,156,150,6,-0.20,RELEASE,False
75,1765649161.073983,150,150,0,-0.20,HOLD,True
80,1765649161.1785653,136,151,-15,-0.03,HOLD,True
85,1765649161.3026586,117,149,-32,-0.50,HOLD,True
90,1765649161.392677,104,141,-37,-1.27,HOLD,True
95,1765649161.4712453,98,134,-36,-0.98,HOLD,True
100,1765649161.5813453,86,119,-33,-1.97,HOLD,True
105,1765649161.6816964,78,102,-24,-2.50,HOLD,True
110,1765649161.7765288,70,77,-7,-5.64,RELEASE,False
115,1765649161.8737872,64,70,-6,-0.40,RELEASE,False
120,1765649161.9838848,57,70,-13,-0.01,HOLD,True
125,1765649162.1024122,53,70,-17,-0.00,HOLD,True
130,1765649162.209976,50,70,-20,-0.00,HOLD,True
135,1765649162.3120172,49,70,-21,-0.00,HOLD,True
140,1765649162.4179163,48,70,-22,-0.00,RELEASE,False
145,1765649162.5190094,49,70,-21,-0.00,HOLD,True
150,1765649162.6180644,48,70,-22,-0.00,HOLD,True
155,1765649162.7358322,49,70,-21,-0.00,HOLD,True
160,1765649162.829463,48,70,-22,-0.00,RELEASE,False
165,1765649162.9360964,49,70,-21,-0.00,HOLD,True
170,1765649163.03637,48,70,-22,-0.00,HOLD,True
175,1765649163.15023,48,70,-22,-0.00,HOLD,True
180,1765649163.258906,48,70,-22,-0.00,RELEASE,False
185,1765649163.3629556,48,70,-22,-0.00,HOLD,True
190,1765649163.4625845,48,70,-22,-0.00,HOLD,True
195,1765649163.567552,48,70,-22,-0.00,HOLD,True
200,1765649163.6640177,48,70,-22,-0.00,RELEASE,False
205,1765649163.7831955,87,70,17,-0.00,RELEASE,False
210,1765649163.8983712,130,70,60,-0.00,RELEASE,False
215,1765649164.0017295,164,70,94,-0.00,RELEASE,False
220,1765649164.091965,188,79,109,2.31,RELEASE,False
225,1765649164.1987271,202,97,105,2.48,RELEASE,False
230,1765649164.2839246,209,120,89,3.92,RELEASE,False
235,1765649164.3910933,208,148,60,6.90,RELEASE,False
240,1765649164.4888806,208,172,36,2.97,RELEASE,False
245,1765649164.5931978,208,202,6,4.59,HOLD,True
250,1765649164.7026162,208,231,-23,5.71,HOLD,True
255,1765649164.7892206,208,246,-38,2.55,HOLD,True
260,1765649164.9178667,200,246,-46,0.08,HOLD,True
265,1765649165.0248294,171,246,-75,0.00,HOLD,True
270,1765649165.1438065,137,237,-100,-3.22,HOLD,True
275,1765649165.2264025,126,228,-102,-0.76,HOLD,True
280,1765649165.331425,100,200,-100,-4.77,HOLD,True
285,1765649165.4263356,82,173,-91,-6.59,HOLD,True
290,1765649165.5204868,71,152,-81,-3.11,HOLD,True
295,1765649165.6238184,57,123,-66,-4.35,HOLD,True
300,1765649165.7061021,48,96,-48,-6.42,HOLD,True
305,1765649165.8130436,40,73,-33,-3.23,HOLD,True
310,1765649165.9216993,36,73,-37,-0.10,HOLD,True
315,1765649166.0373404,34,73,-39,-0.00,HOLD,True
320,1765649166.1475189,34,73,-39,-0.00,HOLD,True
325,1765649166.2665334,34,73,-39,-0.00,HOLD,True
330,1765649166.367159,33,73,-40,-0.00,HOLD,True
335,1765649166.4739003,34,73,-39,-0.00,HOLD,True
340,1765649166.5524874,34,73,-39,-0.00,HOLD,True
345,1765649166.6395724,33,73,-40,-0.00,HOLD,True
350,1765649166.7627027,34,73,-39,-0.00,HOLD,True
355,1765649166.8524199,33,73,-40,-0.00,HOLD,True
360,1765649166.9550073,34,73,-39,-0.00,HOLD,True
365,1765649167.0406063,33,73,-40,-0.00,HOLD,True
370,1765649167.155749,34,73,-39,-0.00,HOLD,True
375,1765649167.2514706,37,73,-36,-0.00,HOLD,True
380,1765649167.3630219,50,73,-23,-0.00,HOLD,True
